case_name,url,date,case_type,matter_number,case_status,summary,tags,long_title,statutes,penalty_usd
"ControlScan, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3165-controlscan-inc,2010-02-25,Federal,0723165,,,Consumer Protection; Privacy and Security; Consumer Privacy; Data Security,"Federal Trade Commission, Plaintiff, v. ControlScan, Inc., a corporation, Defendant",,
"First Advantage SafeRent, Inc., et al., USA (for the FTC)",https://www.ftc.gov/legal-library/browse/cases-proceedings/082-3016-first-advantage-saferent-inc-et-al-usa-ftc,2010-02-02,Federal,0823016,,,Consumer Protection; Privacy and Security; Credit Reporting,"United State of America v. First Advantage SafeRent, Inc.",FCRA,
"Navone, Gregory",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3067-navone-gregory,2010-01-20,Federal,0723067,,,Consumer Protection; Real Estate and Mortgages; Privacy and Security; Credit Reporting; Data Security,Federal Trade Commission v. Gregory Navone,FCRA,
Progressive Gaitways LL,https://www.ftc.gov/legal-library/browse/cases-proceedings/0923141-progressive-gaitways-ll,2010-01-19,Administrative,0923141,,,Consumer Protection; Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Progressive Gaitways LLC, a limited liability company.",Privacy Shield; Safe Harbor,
Collectify LL,https://www.ftc.gov/legal-library/browse/cases-proceedings/092-3142-collectify-ll,2010-01-19,Administrative,0923142,,,Consumer Protection; Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Collectify LLC, a limited liability company.",Privacy Shield; Safe Harbor,
"ExpatEdge Partners, LL",https://www.ftc.gov/legal-library/browse/cases-proceedings/0923138-expatedge-partners-ll,2010-01-19,Administrative,0923138,,,Consumer Protection; Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of ExpatEdge Partners, LLC, a limited liability corporation.",Privacy Shield; Safe Harbor,
"Onyx Graphics, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/0923139-onyx-graphics-inc,2010-01-19,Administrative,0923139,,,Consumer Protection; Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Onyx Graphics, Inc., a corporation.",Privacy Shield; Safe Harbor,
"World Innovators, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/0923137-world-innovators-inc-matter,2010-01-19,Administrative,0923137,,,Consumer Protection; Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of World Innovators, Inc., a corporation.",Privacy Shield; Safe Harbor,
Directors Desk LL,https://www.ftc.gov/legal-library/browse/cases-proceedings/0923140-directors-desk-ll,2010-01-19,Administrative,0923140,,,Consumer Protection; Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Directors Desk LLC, a limited liability company.",Privacy Shield; Safe Harbor,
"Iconix Brand Group, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/iconix-brand-group-inc,2009-10-20,Federal,,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"United States (For the Federal Trade Commission), Plaintiff, v. Iconix Brand Group, Inc., Defendant",COPPA,
"Cash Today, Ltd.",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3093-cash-today-ltd,2009-09-21,Federal,0723093,,,Consumer Protection; Credit and Finance; Credit and Loans; Debt Collection; Privacy and Security,"Federal Trade Commission and the State of Nevada v. Cash Today, Ltd., a United Kingdom corporation, The Heathmill Village, Ltd., a United Kingdom corporation, Leads Global, a Nevada corporation, Waterfront Investments, Inc., a Nevada corporation, ACH Cash, Inc., a Nevada corporation, HBS Services, Inc., a Nevada corporation, Rovinge International, Inc., a Nevada corporation, Lotus Leads, Inc., a Delaware corporation, First4Leads, Inc. A Delaware corporation, The Harris Holdings, Ltd., a Guernsey corporation, each doing business as Cash Today, Route 66 Funding, Global Financial Services International, Ltd., Interim Cash, Ltd. And BIF-INT, Ltd., Aaron Gershfield, individually and as director and officers of Cash Today, Ltd., The Heathmill Village, Ltd., and The Harris Holdings, Ltd., Ivor Gershfield, individually and as an officer and/or director of Cash Today, Ltd. And The Harris Holding, Ltd., and Jim Harris, individually and as an officer and director of Leads Global, Inc., Waterfront Investments, Inc., ACH Cash, Inc., HBS Services, Inc., and Rovinge International, Inc..",,
"Metropolitan Home Mortgage, Inc., also d/b/a Wholesale Home Lenders",https://www.ftc.gov/legal-library/browse/cases-proceedings/metropolitan-home-mortgage-inc-also-dba-wholesale-home-lenders,2009-08-18,Federal,,,,Consumer Protection; Real Estate and Mortgages; Credit and Finance; Credit and Loans; Privacy and Security; Credit Reporting,"United States, Plaintiff, v. Metropolitan Home Mortgage, Inc., a corporation, also doing business as Wholesale Home Lenders, Defendant",FCRA,
"United States of America (for the Federal Trade Commission,) Plaintiff, v. Quality Terminal Services, LLC, a limited liability company, Defendants",https://www.ftc.gov/legal-library/browse/cases-proceedings/082-3022-united-states-america-federal-trade-commission-plaintiff-v-quality-terminal-services-llc-limited,2009-08-11,,0823022,,,Consumer Protection; Privacy and Security; Credit Reporting,,FCRA,
"United States of America (for the Federal Trade Commission,) Plaintiff, v. Rail Terminal Services, LLC, a limited liability company, Defendants",https://www.ftc.gov/legal-library/browse/cases-proceedings/082-3023-united-states-america-federal-trade-commission-plaintiff-v-rail-terminal-services-llc-limited,2009-08-11,,0823023,,,Consumer Protection; Privacy and Security; Credit Reporting,,FCRA,
"United States of America (for the Federal Trade Commission), Plaintiff, v. TALX Corporation, Defendant",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3173-united-states-america-federal-trade-commission-plaintiff-v-talx-corporation-defendant,2009-07-09,,0723173,,,Consumer Protection; Finance; Credit and Finance; Credit and Loans; Privacy and Security; Credit Reporting,,FCRA,
"Accusearch, Inc. d/b/a Abika.com, and Jay Patel",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3126-accusearch-inc-dba-abikacom-jay-patel,2009-06-29,Federal,0523126,,,Consumer Protection; Privacy and Security; Consumer Privacy,"Federal Trade Commissionv. Accusearch, Inc. d/b/a Abika.com, and Jay Patel, Defendants (United States District Court for the District of Wyoming)",,
"CVS Caremark Corporation, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3119-cvs-caremark-corporation-matter,2009-06-23,Administrative,0723119,,,Consumer Protection; Privacy and Security; Consumer Privacy; Data Security; Health Privacy,"In the Matter of CVS Caremark Corporation, a corporation.",,
"James B. Nutter & Company, a corporation, in the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3108-james-b-nutter-company-corporation-matter,2009-06-16,Administrative,0723108,,,Consumer Protection; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,"In the Matter of James B. Nutter & Company, a corporation.",GLBA,
"Gencia Corporation and Compgeeks.com, also d/b/a Computer Geeks Discount Outlet and Geeks.com",https://www.ftc.gov/legal-library/browse/cases-proceedings/082-3113-gencia-corporation-compgeekscom-also-dba-computer-geeks-discount-outlet-geekscom,2009-03-20,Administrative,0823113,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of Genica Corporation, a corporation, and Compgeeks.com, also doing business as Computer Geeks Discount Outlet and Geeks.com, a corporation.",,
"Rental Research Services, Inc., a corporation, et al., United States of America (for the Federal Trade Commission)",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3228-rental-research-services-inc-corporation-et-al-united-states-america-federal-trade-commission,2009-03-05,Federal,0723228,,,Consumer Protection; Finance; Real Estate and Mortgages; Credit and Finance; Privacy and Security; Credit Reporting; Data Security,"United States of America v. Rental Research Services, Inc., a corporation, and Lee Mikkelson, individually and as an officer of the corporation.",FCRA,
"Premier Capital Lending, Inc., et al., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/0723004-premier-capital-lending-inc-et-al-matter,2008-12-16,Administrative,0723004,,,Consumer Protection; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,"In the Matter of Premier Capital Lending, Inc., a corporation, and Debra Stiles, individually and as an officer of the corporation.",GLBA,
"Sony BMG Music Entertainment, a general partnership subsidiary of Sony Corporation of America, United States of America (For the Federal Trade Commission)",https://www.ftc.gov/legal-library/browse/cases-proceedings/082-3071-sony-bmg-music-entertainment-general-partnership-subsidiary-sony-corporation-america-united-states,2008-12-11,Federal,0823071,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"United States of America, Plaintiff, v.Sony BMG Music Entertainment, a general partnership subsidiary of Sony Corporation of America, Defendant, Case No. 08 CV 10730",COPPA,
EMC Mortgage Co.,https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3031-emc-mortgage-co,2008-09-09,Federal,0623031,,,Consumer Protection; Finance; Credit and Finance; Debt Collection; Mortgages; Privacy and Security; Credit Reporting,,FCRA,
"Reed Elsevier Inc. and Seisint, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3094-reed-elsevier-inc-seisint-inc-matter,2008-08-01,Administrative,052-3094,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of Reed Elsevier Inc. and Seisint, Inc.",,
"TJX Companies, The, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3055-tjx-companies-inc-matter,2008-08-01,Administrative,072-3055,,,Consumer Protection; Privacy and Security; Data Security,"In The Matter of The TJX Companies, Inc.",,
"Action Research Group, Inc., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3021-action-research-group-inc-et-al,2008-05-28,Federal,0723021,,,Consumer Protection; Privacy and Security; Consumer Privacy; Gramm-Leach-Bliley Act,"Federal Trade Commission, Plaintiff, v. Action Research Group, Inc., Joseph Depante, Matthew Depante, Bryan Wagner, Cassandra Selvage, and Eye in the Sky Investigations, Inc., Defendants. (United States District Court for the Middle District of Florida Orlando Division)",GLBA,
"Life is good, Inc. and Life is good Retail, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3046-life-good-inc-life-good-retail-inc-matter,2008-04-18,Administrative,072-3046,,,Consumer Protection; Clothing and Textiles; Privacy and Security; Data Security,"In the Matter of Life is good, Inc., a corporation, and Life is good Retail, Inc., a corporation.",,
"Goal Financial, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3013-goal-financial-llc-matter,2008-04-15,Administrative,072-3013,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of Goal Financial, LLC, a limited liability company.",,
"ValueClick, Inc., Hi-Speed Media, Inc., and E-Babylon, Inc., U.S. (for the FTC)",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3111-072-3158-valueclick-inc-hi-speed-media-inc-e-babylon-inc-us-ftc,2008-03-17,Federal,072-3111,,,Consumer Protection; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Data Security,"United States of America, Plaintiff, v. ValueClick, Inc., Hi-Speed Media, Inc., and E-Babylon, Inc., Defendants",,
"Milliman, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3189-milliman-inc-matter,2008-02-12,Administrative,062-3189,,,Consumer Protection; Privacy and Security; Credit Reporting,"In the Matter of Milliman, Inc., a corporation",FCRA,
"Ingenix, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3190-ingenix-inc-matter,2008-02-12,Administrative,0623190,,,Consumer Protection; Privacy and Security; Credit Reporting,"In the Matter of Ingenix, Inc.",FCRA,
"Industrious Kid, Inc. and Jeanette Symons., U.S. (for the FTC)",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3082-industrious-kid-inc-jeanette-symons-us-ftc,2008-01-30,Federal,072-3082,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"United States of America, Plaintiff, v. Industrious Kid, Inc., a corporation and Jeanette Symons, individually and as an officer of the corporation, Defendants",COPPA,
"American United Mortgage Company., United States of America (for the FTC)",https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3103-american-united-mortgage-company-united-states-america-ftc,2007-12-18,Federal,0623103,,,Consumer Protection; Privacy and Security; Credit Reporting; Data Security; Gramm-Leach-Bliley Act,"United States of America, Plaintiff, v. American United Mortgage Company, a corporation, Defendant",GLBA; FCRA,
"CEO Group, Inc. d/b/a Check Em Out, and Scott Joseph",https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3100-ceo-group-inc-dba-check-em-out-scott-joseph,2007-12-17,Federal,0623100,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"Federal Trade Commissionv. CEO GROUP, INC. d/b/a Check Em Out, and Scott Joseph, Defendants.",GLBA,
"Guidance Software, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3057-guidance-software-inc-matter,2007-04-03,Administrative,0623057,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of Guidance Software, Inc., a corporation.",,
"Information Search, Inc., and David J. Kacala (District of Maryland, Northern Division)",https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3102-information-search-inc-david-j-kacala-district-maryland-northern-division,2007-02-22,Federal,0623102,,,Consumer Protection; Privacy and Security; Consumer Privacy; Gramm-Leach-Bliley Act,"FTC v. Information Search, Inc., and David J. Kacala",GLBA,
"Consumerinfo.com., Inc., d/b/a Experian Consumer Direct, Qspace, Inc., and Iplace Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3263-consumerinfocom-inc-dba-experian-consumer-direct-qspace-inc-iplace-inc,2007-02-21,Federal,0223263,,,Consumer Protection; Privacy and Security; Credit Reporting,"FTC v. Consumerinfo.com., Inc., a corporation, doing business asExperian Consumer Direct, Qspace, Inc., and Iplace Inc., Defendant., United States District Court for the Central District of California",FCRA,
"Integrity Security & Investigation Services, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3101-integrity-security-investigation-services-inc,2006-10-05,Federal,0623101,,,Consumer Protection; Privacy and Security; Consumer Privacy; Gramm-Leach-Bliley Act,"Federal Trade Commission, Plaintiff, v. Integrity Security & Investigation Services, Inc., Edmund L. Edmister, Tracey Edmister, and F. Lynn Moseley, Defendants; United States District Court Eastern District of Virginia Newport News Division",GLBA,
"CardSystems Solutions, Inc., and Solidus Networks, Inc., d/b/a Pay By Touch Solutions, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3148-cardsystems-solutions-inc-solidus-networks-inc-dba-pay-touch-solutions-matter,2006-09-08,Administrative,0523148,,,Consumer Protection; Finance; Credit and Finance; Credit and Loans; Privacy and Security; Data Security,"In the Matter of CardSystems Solutions, Inc., and Solidus Networks, Inc., Doing Business as Pay By Touch Solutions",,
"Xanga.com, Inc., John Hiler, and Marc Ginsburg",https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3073-xangacom-inc-john-hiler-marc-ginsburg,2006-09-07,Federal,062-3073,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"United States of America, Plaintiff, v. Xanga.com, Inc., a corporation, John Hiler, individually and as an officer of the corporation, and Marc Ginsburg, individually and as an officer of the corporation, Defendants",COPPA,
"Nations Title Agency, Inc., Nations Holding Company, and Christopher M. Likens., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3117-nations-title-agency-inc-nations-holding-company-christopher-m-likens-matter,2006-06-20,Administrative,0523117,,,Consumer Protection; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,"In the Matter of Nations Title Agency, Inc., Nations Holding Company, and Christopher M. Likens",GLBA,
"77 Investigations, Inc. and Reginald Kimbro",https://www.ftc.gov/legal-library/browse/cases-proceedings/062-3099-77-investigations-inc-reginald-kimbro,2006-05-03,Federal,0623099,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"Federal Trade Commissionv. 77 Investigations, Inc., and Reginald Kimbro, Defendants.United States District Court Central District of California",GLBA,
"DSW Inc.,In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3096-dsw-incin-matter,2006-03-14,Administrative,0523096,,,Consumer Protection; Privacy and Security; Data Security,In the Matter of DSW Inc.,,
"Far West Credit, Inc., U.S.",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3185-far-west-credit-inc-us,2006-01-17,Federal,042-3185,,,Consumer Protection; Privacy and Security; Credit Reporting,"United States of America, Plaintiff, v. Far West Credit, Inc., Defendant",FCRA,
"Superior Mortgage Corp., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3136-superior-mortgage-corp-matter,2005-12-16,Administrative,0523136,,,Consumer Protection; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,In the Matter of Superior Mortgage Corp.,GLBA,
"Sun Spectrum Communications Organization, Inc., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3032-sun-spectrum-communications-organization-inc-et-al,2005-10-24,Federal,0323032,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"FTC v. Sun Spectrum Communications Organization, Inc., dba Royal Credit Solutions; North American Communications Organization, Inc., dba Imperial Consumer Services; WWCI2002, Inc., dba Beneficial Client Care, 9106-7843 Quebec, Inc., dba Intelagent Media; William H. Martell, Tracey A. Bascove, Mitchel Kastner, Ronald Corber, and Jason Kastner, defendants.",GLBA,
"BJ's Wholesale Club, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3160-bjs-wholesale-club-inc-matter,2005-09-23,Administrative,0423160,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of BJ's Wholesale Club, Inc.",,
"Vision I Properties, LLC, et al., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3068-vision-i-properties-llc-et-al-matter,2005-04-26,Administrative,0423068,,,Consumer Protection; Privacy and Security; Consumer Privacy; Data Security,"In the Matter of Vision I Properties, LLC, doing business as CartManager International",,
"Nationwide Mortgage Group, Inc., and John D. Eubank, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3104-nationwide-mortgage-group-inc-john-d-eubank-matter,2005-04-15,Administrative,042-3104,,,Consumer Protection; Finance; Real Estate and Mortgages; Credit and Finance; Mortgages; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,"In the Matter of Nationwide Mortgage Group, Inc., and John D. Eubank",GLBA,
"Petco Animal Supplies, Inc., In th Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3221-petco-animal-supplies-inc-th-matter,2005-03-08,Administrative,0323221,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of Petco Animal Supplies, Inc.",,
"Assail, Inc., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3147-assail-inc-et-al,2005-01-24,Federal,0223147,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"Federal Trade Commission, Plaintiff, vs. Assail, Inc., et al., Defendants.,United States District Court, Western District of Texas, Waco Division",GLBA,
"Sunbelt Lending Services, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3153-sunbelt-lending-services-inc-matter,2005-01-07,Administrative,0423153,,,Consumer Protection; Finance; Credit and Finance; Mortgages; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,"In the Matter of Sunbelt Lending Services, Inc.",GLBA,
"Gateway Learning Corp., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3047-gateway-learning-corp-matter,2004-12-28,Administrative,0423047,,,Consumer Protection; Privacy and Security; Consumer Privacy,In the Matter of Gateway Learning Corp.,,
"Bonzi Software, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3016-bonzi-software-inc,2004-10-13,Administrative,0423016,,There is a related federal case .,Consumer Protection; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Children's Privacy; Consumer Privacy,"In the Matter of Bonzi Software, Inc., a corporation, and Joe Bonzi and Jay Bonzi, individually and as officers of said corporation.",,
AT&T Corp,https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3159-att-corp,2004-09-10,Federal,022-3159,,,Consumer Protection; Privacy and Security; Credit Reporting,United States of America v. AT&T Corp.,FCRA,
"Sprint Corporation, Sprint Communications Company L.P., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3160-sprint-corporation-sprint-communications-company-lp-et-al,2004-09-10,Federal,022-3160,,,Consumer Protection; Privacy and Security; Credit Reporting,"United States of America v. Sprint Corporation, Sprint Communications Company L.P., et al.",FCRA,
"Imperial Palace, Inc., et al., US",https://www.ftc.gov/legal-library/browse/cases-proceedings/0323050-imperial-palace-inc-et-al-us,2004-07-14,Federal,0323050,,,Consumer Protection; Human Resources; Privacy and Security; Credit Reporting,"United States of America, Plaintiff, v. Imperial Palace, Inc., d.b.a. Imperial Palace Casino, and Imperial Palace of Mississippi, Inc., Defendants., United States District Court for the District of Nevada",FCRA,
"MTS, Inc., et al., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3209-mts-inc-et-al-matter,2004-06-02,Administrative,032-3209,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of MTS, Inc., doing business as Tower Records/Books/Video, a corporation, and Tower Direct, LLC, doing business as TowerRecords.com, a corporation.",,
"NCO Group, Inc., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/992-3012-nco-group-inc-et-al,2004-05-13,Federal,992-3012,,,Consumer Protection; Finance; Credit and Finance; Credit and Loans; Privacy and Security; Credit Reporting,"United States of America, v. NCO Group, Inc., a Pennsylvania Corporation, NCO Financial Systems, Inc., a Pennsylvania Corporation, and NCO Portfolio Management, Inc., a Delaware Corporation.",FCRA,
Hill Zachary Keith,https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3102-hill-zachary-keith,2004-03-22,Federal,032-3102,,,Consumer Protection; Privacy and Security; Consumer Privacy; Gramm-Leach-Bliley Act,"FTC v. Zachary Keith Hill, defendant.,",GLBA,
"Bonzi Software, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/bonzi-software-inc,2004-02-18,Federal,,,There is a related administrative case .,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Software and Databases; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Children's Privacy,"United States of America v. Bonzi Software, Inc., a Delaware Corporation, defendant.",COPPA,
"UMG Recordings, Inc., a corporation, US",https://www.ftc.gov/legal-library/browse/cases-proceedings/umg-recordings-inc-corporation-us,2004-02-18,Federal,,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Software and Databases; Privacy and Security; Children's Privacy,"United States of America v. UMG Recordings, Inc., a corporation, defendant.",COPPA,
"30 Minute Mortgage, Inc., Gregory P. Roth, and Peter W. Stolz",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3224-30-minute-mortgage-inc-gregory-p-roth-peter-w-stolz,2003-12-09,Federal,022-3224,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"Federal Trade Commission V. 30 Minute Mortgage, Inc., Gregory P. Roth, and Peter W. Stolz",GLBA,
"Guess?, Inc., and Guess.com, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3260-guess-inc-guesscom-inc-matter,2003-08-05,Administrative,0223260,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of Guess?, Inc., and Guess.com, Inc.",,
"__________________, a minor, also known as _______________, by his parent ____________",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3101-022-3209-__________________-minor-also-known-_______________-his-parent-____________,2003-07-21,Federal,032-3101,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"Federal Trade Commission, Plaintiff, V. __________________, a minor, also known as _______________, by his parent ____________, Defendant",GLBA,
"Educational Research Center of America, Inc.; Student Marketing Group, Inc.; Marian Sanjana; and Jan Stumacher",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3249-educational-research-center-america-inc-student-marketing-group-inc-marian-sanjana-jan-stumacher,2003-05-09,Administrative,0223249,,,Consumer Protection; Privacy and Security; Consumer Privacy,"In the Matter of Educational Research Center of America, Inc.; Student Marketing Group, Inc.; Marian Sanjana; and Jan Stumacher",,
"Mrs. Fields Famous Brands, Inc., Mrs. Fields' Holding Company, Inc., and Mrs. Fields' Original Cookies, Inc., U.S. (for the FTC)",https://www.ftc.gov/legal-library/browse/cases-proceedings/mrs-fields-famous-brands-inc-mrs-fields-holding-company-inc-mrs-fields-original-cookies-inc-us-ftc,2003-02-27,Federal,,,,Consumer Protection; Western Region; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"United States of America v. Mrs. Fields Famous Brands, Inc., Mrs. Fields' Holding Company, Inc., and Mrs. Fields' Original Cookies, Inc.",COPPA,
"Hershey Foods Corporation., U.S. (for the FTC)",https://www.ftc.gov/legal-library/browse/cases-proceedings/hershey-foods-corporation-us-ftc,2003-02-27,Federal,,,,Consumer Protection; Western Region; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,United States of America v. Hershey Foods Corporation,COPPA,
"National Research Center for College and University Admissions, The, Inc.; American Student List, LLC; and Don M. Munce",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3005-national-research-center-college-university-admissions-inc-american-student-list-llc-don-m-munce,2003-01-29,Administrative,0223005,,,Consumer Protection; Privacy and Security; Consumer Privacy,"In the Matter of The National Research Center For College and University Admissions, Inc., and Don M. Munce",,
"Microsoft Corporation, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3240-microsoft-corporation-matter,2002-12-24,Administrative,0123240,,,Consumer Protection; Privacy and Security; Data Security,In the Matter of Microsoft Corporation,,
"FTC v. Global Mortgage Funding, Inc., et al., SACV 02-1026 DOC",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3234-022-3234-022-3235-022-3236-022-3237-022-3077-022-3302-ftc-v-global-mortgage-funding-inc-et-al-sacv-02-1026-doc,2002-11-13,,022-3234,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,,GLBA,
"Corporate Marketing Solutions, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3001-corporate-marketing-solutions-inc,2002-07-18,Federal,022-3001,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"FTC v. Corporate Marketing Solutions, Inc., et al.",GLBA,
"Eli Lilly And Company, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3214-eli-lilly-company-matter,2002-05-10,Administrative,0123214,,,Consumer Protection; Privacy and Security; Data Security; Health Privacy,In the Matter of Eli Lilly and Company,,
"Ohio Art Company, The",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3028-ohio-art-company,2002-04-22,Federal,022-3028,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,United States v. The Ohio Art Company,COPPA,
"Garrett, Paula L. d/b/a Discreet Data Systems",https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3067-garrett-paula-l-dba-discreet-data-systems,2002-03-08,Federal,0123067,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"FTC v. Paula L. Garrett, d/b/a Discreet Data Systems",GLBA,
"Guzzetta, Victor L., d/b/a Smart Data Systems",https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3066-guzzetta-victor-l-dba-smart-data-systems,2002-03-08,Federal,0123066,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"FTC v. Victor L. Guzzetta, d/b/a Smart Data Systems",GLBA,
